"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"388","HD 193202","302.718406474642","77.2389729444722","54.89","6.5534","-10.2007","53.5342","K7V","0.62","863040.0","4000.0","0.7"
"389","G 188-26","327.063620617604","27.92834055269","54.9","40.7099","-26.3731","25.7133","M2V","0.42","584640.0","3000.0","0.3"
"390","RX J2354.8+3831","358.71440857349","38.52672249321","54.91","42.9463","-0.9638","34.2023","M3.1V","0.38","528960.0","3000.0","0.3"
"391","HD  48948","102.487606487435","60.3355446010281","54.92","-5.8773","26.538","47.7221","K3V","0.78","1085760.0","4000.0","0.7"
"392","HD  43162B","93.43919058805","-23.86877031143","54.93","-3.0134","50.1416","-22.2271","M3.5","0.38","528960.0","3000.0","0.3"
"393","CD-58   538","39.754880835","-58.1871444297222","54.94","22.2652","18.521","-46.6866","M0Ve","0.5","696000.0","3000.0","0.3"
"394","HD 221354","352.842536429907","59.1655188336236","54.94","27.9406","-3.5086","47.1743","K0V","0.9","1252800.0","4000.0","0.7"
"395","HD  76151","133.574779568623","-5.43445952735861","54.95","-37.7068","39.631","-5.2042","G2V","1.06","1475520.0","5500.0","1.0"
"396","HD  55575","108.95891323603","47.23996344559","54.96","-12.1229","35.2897","40.3518","F9V","1.23","1712160.0","6500.0","1.3"
"397","L  147-101","195.331861226359","-63.1950516774989","54.97","-23.9067","-6.5544","-49.0633","M1V","0.46","640320.0","3000.0","0.3"
"398","Ross 1007","199.917189847005","33.3465300785061","54.99","-43.1889","-15.6488","30.2281","M2V","0.42","584640.0","3000.0","0.3"
"399","G 251-19","105.87465849296","76.77379552401","54.99","-3.4415","12.1017","53.5314","M3.5V","0.38","528960.0","3000.0","0.3"
"400","LP   44-334","280.009981","72.681789","55.0","2.8458","-16.1231","52.5066","M7.0V","0.22","306240.0","3000.0","0.3"
"401","UCAC3 123-175263","229.221081358598","-28.5378948616517","55.01","-31.564","-36.5944","-26.2805","M5","0.3","417600.0","3000.0","0.3"
"402","HD 179930","289.178812235556","-45.8893679257849","55.02","12.5811","-36.1709","-39.5042","M0Vk:","0.5","696000.0","3000.0","0.3"
"403","2MASS J15394189-0520428","234.924682604263","-5.34520947782","55.03","-31.4856","-44.8406","-5.1264","L4.2V","","","",""
"404","LP  638-66","323.454756361416","1.78378349444194","55.06","44.213","-32.77","1.7139","M4V","0.34","473280.0","3000.0","0.3"
"405","HD 174080","282.121770972745","10.7454505997731","55.06","11.3593","-52.8884","10.2657","K0","0.9","1252800.0","4000.0","0.7"
"406","CD-36 14261","309.03462061108","-36.11986382861","55.08","28.0211","-34.5605","-32.4684","M3Ve","0.38","528960.0","3000.0","0.3"
"407","G  26-14","323.454711420869","1.78236517108306","55.09","44.2371","-32.7879","1.7135","M4V","0.34","473280.0","3000.0","0.3"
"408","2MASS J05402601-1802399","85.108389","-18.044428","55.09","4.4665","52.1897","-17.0644","T5","","","",""
"409","Ross 1019","207.71567255221","36.7380977693819","55.11","-39.0969","-20.54","32.9645","M4V","0.34","473280.0","3000.0","0.3"
"410","G 179-57","237.40934076475","34.815715190163","55.16","-24.3925","-38.1552","31.493","M4.0Ve","0.34","473280.0","3000.0","0.3"
"411","Wolf  587","237.5467075883","0.95909416049","55.17","-29.6007","-46.5475","0.9235","M3.0V","0.38","528960.0","3000.0","0.3"
"412","Wolf   90","27.8507214300104","21.3942952240489","55.17","45.4182","23.9977","20.1251","dM4.5","","","",""
"413","LP  716-10","73.0167374665842","-10.9727206387064","55.18","15.823","51.8088","-10.503","M5.5","0.3","417600.0","3000.0","0.3"
"414","L  258-126","207.840662825654","-53.5460835996303","55.19","-28.9968","-15.3146","-44.3912","M2V","0.42","584640.0","3000.0","0.3"
"415","2MASS J12130336-0432437","183.26392725488","-4.54548565718278","55.19","-54.9272","-3.1324","-4.3738","L4.2V","","","",""
"416","Wolf 1051","359.636049878215","7.65834861879972","55.19","54.6966","-0.3474","7.3549","M3.0V","0.38","528960.0","3000.0","0.3"
