id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
863,HD 224607,359.80708108699,-26.0487466937,74.34,66.79,-0.225,-32.646,K4Vk:,0.966,1345311.0,4020.0,0.403,0.04151,255,206,166
864,LP  522-33,350.02927423809246,11.835388220325555,87.18,84.038,-14.774,17.881,M6.5Ve,0.972,1352850.0,2420.0,0.406,0.04254,255,155,62
865,G 168-38,243.88407359928,24.463021787540004,83.14,-33.313,-67.953,34.43,M1.5V,1.241,1727077.0,3020.0,0.551,0.12383,255,177,111
866,BD+05  1668,111.85207903566794,5.225789303071388,12.35,-4.577,11.414,1.125,M3.5V,1.43,1990597.0,2780.0,0.657,0.23048,255,169,93
867,HD 164595B,270.18928827047,29.565764247670003,92.24,0.265,-80.227,45.512,M2.5V,0.755,1051425.0,2900.0,0.296,0.01412,255,173,102
868,PM J04429+2128,70.73275567761,21.47304307355,45.36,13.929,39.848,16.605,M3.5V,1.077,1499008.0,2780.0,0.461,0.06664,255,169,93
869,* chi Cet,27.396261525257913,-10.6864086109725,76.59,66.821,34.631,-14.202,F0V,2.189,3047203.0,7000.0,1.12,1.48471,242,242,255
870,HD  76151,133.57477956862334,-5.434459527358611,54.95,-37.704,39.628,-5.204,G2V,1.723,2398847.0,5560.0,0.83,0.52129,255,238,224
871,L   66-47,166.13963776828,-72.95273155163,90.15,-25.66,6.331,-86.192,M1,0.727,1012013.0,3080.0,0.282,0.01195,255,179,115
872,LP  870-45,302.7313358946688,-25.585926851456385,71.16,34.705,-53.994,-30.733,M4.5V,0.705,980874.0,2660.0,0.271,0.01042,255,165,84
873,* alf Lyr,279.234734787025,38.783688956244,25.04,3.133,-19.27,15.688,A0V,3.991,5555592.0,9000.0,2.372,20.5479,209,222,255
874,SCR J0420-7005,65.05230817474458,-70.09961972617222,53.85,7.731,16.619,-50.632,M6Ve,1.098,1527774.0,2480.0,0.472,0.07242,255,158,68
875,* alf Crv,182.10340531836871,-24.728875596671113,48.85,-44.339,-1.628,-20.435,F1V,2.078,2892512.0,6880.0,1.049,1.18209,246,244,255
876,WT 929,336.09562459415,-65.97669779587,51.64,19.219,-8.518,-47.165,M3,1.055,1468252.0,2840.0,0.449,0.06086,255,171,98
877,* alf Leo,152.09296243828146,11.967208776100023,79.3,-68.555,36.309,16.443,B8IVn,7.585,10557816.0,19040.0,5.292,340.96419,172,199,255
878,* del Cap,326.76018433125,-16.12728708527778,38.7,31.098,-20.381,-10.751,kA5hF0mF2III,0.947,1318539.0,3900,0.393,0.03802,255,203,161
879,HD 225213,1.3517851465737503,-37.35736331430695,14.17,11.264,0.266,-8.601,M2V,1.268,1765116.0,2960.0,0.566,0.13621,255,175,107
880,LP  944-20,54.89688479175417,-35.428789443425835,20.96,9.822,13.974,-12.151,M9.5Ve,1.005,1399457.0,2060.0,0.423,0.04933,255,139,21
881,* alf Gem,113.64947163976585,31.88828221646326,50.87,-17.325,39.563,26.871,A1V+A2Vm,2.59,3605335.0,8880.0,1.381,3.09891,210,223,255
882,HD  15767,37.92697052255,-15.273452084340002,87.7,66.737,52.004,-23.104,K2.5Vk:,1.352,1882559.0,4200.0,0.613,0.18055,255,210,175
883,LP  376-62,186.25430295425244,23.388090925671666,71.78,-65.488,-7.177,28.493,M6V,0.989,1376958.0,2480.0,0.415,0.04596,255,158,68
884,2MASS J21265788+2531080,321.7410858290754,25.518505729333608,59.02,41.822,-32.98,25.425,M9V,1.228,1709879.0,2120.0,0.544,0.11852,255,142,29
885,L   43-72,272.81397799999996,-78.98975300000001,39.62,0.371,-7.557,-38.887,M4.5,0.968,1347912.0,2660.0,0.404,0.04186,255,165,84
886,VB 10,289.2400456449525,5.150444700948055,19.3,6.336,-18.153,1.733,M8V,1.345,1872798.0,2240.0,0.609,0.17649,255,148,43
887,Ross   42,83.06106878952,9.820813211489998,42.28,5.034,41.359,7.212,M4Ve,0.943,1312451.0,2720.0,0.391,0.03726,255,167,89
888,LP  791-18,165.69147758308,-16.40619116566,86.92,-80.798,20.608,-24.551,M6V,1.287,1792021.0,2480.0,0.577,0.14553,255,158,68
889,LP  549-6,149.73542215778627,5.966646491411667,49.06,-42.141,24.591,5.099,M4.5V,1.285,1788999.0,2660.0,0.575,0.14446,255,165,84
890,HD  97782,168.70071412237675,-23.104923364053516,75.17,-67.8,13.547,-29.498,K5V,1.477,2055484.0,3900.0,0.684,0.2652,255,203,161
891,Wolf  461,195.1396757483258,5.6855546167733335,27.87,-26.77,-7.243,2.761,M4.5Ve,0.61,848668.0,2660.0,0.227,0.00553,255,165,84
892,G 250-31B,104.48719198094834,62.321691411363894,37.39,-4.344,16.814,33.108,M5V,0.827,1151560.0,2600.0,0.332,0.02102,255,162,79
893,L  338-152,245.6706575273871,-48.65556048635083,77.27,-21.028,-46.508,-58.007,M1.5V,1.175,1636273.0,3020.0,0.515,0.09777,255,177,111
894,BD+25  3173,254.53687337795122,25.74415945912639,33.89,-8.139,-29.423,14.721,M2V,0.95,1323065.0,2960.0,0.395,0.03859,255,175,107
895,2MASS J03043226-2435136,46.13440899521001,-24.58712278442,96.19,60.615,63.064,-40.024,M8.5,0.845,1176280.0,2180.0,0.341,0.02307,255,145,36
896,HD  97101,167.7715498153975,30.446017560313887,38.75,-32.646,7.075,19.634,K7V,1.376,1914824.0,3660.0,0.626,0.19449,255,196,149
897,G  24-16,307.4513246532652,9.689052918565,24.37,14.61,-19.074,4.102,M4.5V,0.615,855495.0,2660.0,0.229,0.00573,255,165,84
